prompt,scheduled_time,status,last_run
create instagram post that has 1 hook (also generate hook header image) 3 content & 1 CTA using design2 content about prioritization,2026-04-12 12:00,pending,
create instagram post that has 1 promote using design2 promote about We Ready,2026-04-12 16:00,pending,
create instagram post that has 1 hook (also generate hook header image) 3 content & 1 CTA using design2 content about organization,2026-04-12 20:00,pending,
create instagram post that has 1 quote using design2 quote about productivity,2026-04-13 08:00,pending,
create instagram post that has 1 hook (also generate hook header image) 3 content & 1 CTA using design2 content about productivity,2026-04-13 12:00,pending,
create instagram post that has 1 promote using design2 promote about Notes,2026-04-13 16:00,pending,
create instagram post that has 1 hook (also generate hook header image) 3 content & 1 CTA using design2 content about goals,2026-04-13 20:00,pending,
create instagram post that has 1 quote using design2 quote about note-taking,2026-04-14 08:00,pending,
create instagram post that has 1 hook (also generate hook header image) 3 content & 1 CTA using design2 content about note-taking,2026-04-14 12:00,pending,
create instagram post that has 1 promote using design2 promote about We Ready,2026-04-14 16:00,pending,
create instagram post that has 1 hook (also generate hook header image) 3 content & 1 CTA using design2 content about habits,2026-04-14 20:00,pending,
create instagram post that has 1 quote using design2 quote about planning,2026-04-15 08:00,pending,
create instagram post that has 1 hook (also generate hook header image) 3 content & 1 CTA using design2 content about planning,2026-04-15 12:00,pending,
create instagram post that has 1 promote using design2 promote about Notes,2026-04-15 16:00,pending,
create instagram post that has 1 hook (also generate hook header image) 3 content & 1 CTA using design2 content about deep work,2026-04-15 20:00,pending,
create instagram post that has 1 quote using design2 quote about time management,2026-04-16 08:00,pending,
create instagram post that has 1 hook (also generate hook header image) 3 content & 1 CTA using design2 content about time management,2026-04-16 12:00,pending,
create instagram post that has 1 promote using design2 promote about We Ready,2026-04-16 16:00,pending,
create instagram post that has 1 hook (also generate hook header image) 3 content & 1 CTA using design2 content about creativity,2026-04-16 20:00,pending,
create instagram post that has 1 quote using design2 quote about focus,2026-04-17 08:00,pending,
create instagram post that has 1 hook (also generate hook header image) 3 content & 1 CTA using design2 content about focus,2026-04-17 12:00,pending,
create instagram post that has 1 promote using design2 promote about Notes,2026-04-17 16:00,pending,
create instagram post that has 1 hook (also generate hook header image) 3 content & 1 CTA using design2 content about mindfulness,2026-04-17 20:00,pending,
create instagram post that has 1 quote using design2 quote about organization,2026-04-18 08:00,pending,
create instagram post that has 1 hook (also generate hook header image) 3 content & 1 CTA using design2 content about organization,2026-04-18 12:00,pending,
create instagram post that has 1 promote using design2 promote about We Ready,2026-04-18 16:00,pending,
create instagram post that has 1 hook (also generate hook header image) 3 content & 1 CTA using design2 content about prioritization,2026-04-18 20:00,pending,
create instagram post that has 1 quote using design2 quote about goals,2026-04-19 08:00,pending,
create instagram post that has 1 hook (also generate hook header image) 3 content & 1 CTA using design2 content about goals,2026-04-19 12:00,pending,
create instagram post that has 1 promote using design2 promote about Notes,2026-04-19 16:00,pending,
create instagram post that has 1 hook (also generate hook header image) 3 content & 1 CTA using design2 content about productivity,2026-04-19 20:00,pending,
create instagram post that has 1 quote using design2 quote about habits,2026-04-20 08:00,pending,
create instagram post that has 1 hook (also generate hook header image) 3 content & 1 CTA using design2 content about habits,2026-04-20 12:00,pending,
create instagram post that has 1 promote using design2 promote about We Ready,2026-04-20 16:00,pending,
create instagram post that has 1 hook (also generate hook header image) 3 content & 1 CTA using design2 content about note-taking,2026-04-20 20:00,pending,
create instagram post that has 1 quote using design2 quote about deep work,2026-04-21 08:00,pending,
create instagram post that has 1 hook (also generate hook header image) 3 content & 1 CTA using design2 content about deep work,2026-04-21 12:00,pending,
create instagram post that has 1 promote using design2 promote about Notes,2026-04-21 16:00,pending,
create instagram post that has 1 hook (also generate hook header image) 3 content & 1 CTA using design2 content about planning,2026-04-21 20:00,pending,
create instagram post that has 1 quote using design2 quote about creativity,2026-04-22 08:00,pending,
create instagram post that has 1 hook (also generate hook header image) 3 content & 1 CTA using design2 content about creativity,2026-04-22 12:00,pending,
create instagram post that has 1 promote using design2 promote about We Ready,2026-04-22 16:00,pending,
create instagram post that has 1 hook (also generate hook header image) 3 content & 1 CTA using design2 content about time management,2026-04-22 20:00,pending,
create instagram post that has 1 quote using design2 quote about mindfulness,2026-04-23 08:00,pending,
create instagram post that has 1 hook (also generate hook header image) 3 content & 1 CTA using design2 content about mindfulness,2026-04-23 12:00,pending,
create instagram post that has 1 promote using design2 promote about Notes,2026-04-23 16:00,pending,
create instagram post that has 1 hook (also generate hook header image) 3 content & 1 CTA using design2 content about focus,2026-04-23 20:00,pending,
create instagram post that has 1 quote using design2 quote about prioritization,2026-04-24 08:00,pending,
create instagram post that has 1 hook (also generate hook header image) 3 content & 1 CTA using design2 content about prioritization,2026-04-24 12:00,pending,
create instagram post that has 1 promote using design2 promote about We Ready,2026-04-24 16:00,pending,
create instagram post that has 1 hook (also generate hook header image) 3 content & 1 CTA using design2 content about organization,2026-04-24 20:00,pending,
create instagram post that has 1 quote using design2 quote about productivity,2026-04-25 08:00,pending,
create instagram post that has 1 hook (also generate hook header image) 3 content & 1 CTA using design2 content about productivity,2026-04-25 12:00,pending,
create instagram post that has 1 promote using design2 promote about Notes,2026-04-25 16:00,pending,
create instagram post that has 1 hook (also generate hook header image) 3 content & 1 CTA using design2 content about goals,2026-04-25 20:00,pending,
create instagram post that has 1 quote using design2 quote about note-taking,2026-04-26 08:00,pending,
create instagram post that has 1 hook (also generate hook header image) 3 content & 1 CTA using design2 content about note-taking,2026-04-26 12:00,pending,
create instagram post that has 1 promote using design2 promote about We Ready,2026-04-26 16:00,pending,
create instagram post that has 1 hook (also generate hook header image) 3 content & 1 CTA using design2 content about habits,2026-04-26 20:00,pending,
create instagram post that has 1 quote using design2 quote about planning,2026-04-27 08:00,pending,
create instagram post that has 1 hook (also generate hook header image) 3 content & 1 CTA using design2 content about planning,2026-04-27 12:00,pending,
create instagram post that has 1 promote using design2 promote about Notes,2026-04-27 16:00,pending,
create instagram post that has 1 hook (also generate hook header image) 3 content & 1 CTA using design2 content about deep work,2026-04-27 20:00,pending,
create instagram post that has 1 quote using design2 quote about time management,2026-04-28 08:00,pending,
create instagram post that has 1 hook (also generate hook header image) 3 content & 1 CTA using design2 content about time management,2026-04-28 12:00,pending,
create instagram post that has 1 promote using design2 promote about We Ready,2026-04-28 16:00,pending,
create instagram post that has 1 hook (also generate hook header image) 3 content & 1 CTA using design2 content about creativity,2026-04-28 20:00,pending,
create instagram post that has 1 quote using design2 quote about focus,2026-04-29 08:00,pending,
create instagram post that has 1 hook (also generate hook header image) 3 content & 1 CTA using design2 content about focus,2026-04-29 12:00,pending,
create instagram post that has 1 promote using design2 promote about Notes,2026-04-29 16:00,pending,
create instagram post that has 1 hook (also generate hook header image) 3 content & 1 CTA using design2 content about mindfulness,2026-04-29 20:00,pending,
create instagram post that has 1 quote using design2 quote about organization,2026-04-30 08:00,pending,
create instagram post that has 1 hook (also generate hook header image) 3 content & 1 CTA using design2 content about organization,2026-04-30 12:00,pending,
create instagram post that has 1 promote using design2 promote about We Ready,2026-04-30 16:00,pending,
create instagram post that has 1 hook (also generate hook header image) 3 content & 1 CTA using design2 content about prioritization,2026-04-30 20:00,pending,
